document ID,concept,type_of_org,type_of_concept,category,idea
8,S_People_Community engagement,County government,S,Local communities,Engage communities
8,S_People_Community engagement,County government,S,Local communities,Engage communities
8,C_Organizations_Jurisdictional fragmentation,County government,C,Institutions,Jurisdictional fragmentation
8,C_Local govts_control issues,County government,C,Local communities,Local control
8,S_Collaborative governance_Visioning process,County government,S,Institutions,Visioning process
8,S_Planning_Pilot projects,County government,S,Planning,Pilot projects
8,C_Resources_Who pays?,County government,C,Funding/Resources,Who pays?
8,S_Planning_Pilot projects,County government,S,Planning,Pilot projects
8,C_Complexity_Information_overload,County government,C,Science,Information overload
8,C_People_Community engagement,County government,C,Local communities,Community engagement
8,S_Local govts_governance must include local stakeholders,County government,S,Local communities,Include local stakeholders
8,C_Organizations_Jurisdictional fragmentation,County government,C,Institutions,Jurisdictional fragmentation
8,S_Complexity_Learning from others (USA/Abroad),County government,S,Science,Learning from others (USA/Abroad)
8,S_Planning_Pilot projects,County government,S,Planning,Pilot projects
8,C_Resources_Who pays?,County government,C,Funding/Resources,Who pays?
8,C_Organizations_mission,County government,C,Institutions,Statutory mission
32,C_Organizations_Competition for same money,State Agency,C,Institutions,Competition for same money
8,S_Planning_Pilot projects,County government,S,Planning,Pilot projects
8,C_Private sector_no support,County government,C,Funding/Resources,Who pays?
8,C_Organizations_mission,County government,C,Institutions,Statutory mission
8,C_Resources_There won't be federal money,County government,C,Funding/Resources,Who pays?
8,C_People_loss of property value,County government,C,Local communities,NYMBYsm
8,S_Resources_Lobby for federal program,County government,S,Funding/Resources,Lobby for federal program
8,C_Regulation_Permitting issues,County government,C,Regulation,Permitting issues
8,C_Complexity_Vulnerability interdependence,County government,C,Science,Vulnerability interdependence
8,C_Organizations_mission,County government,C,Institutions,Statutory mission
8,C_Organizations_mission,County government,C,Institutions,Statutory mission
8,S_Political leadership_compel orgs to work together,County government,S,Leadership,Compel orgs to work together
8,C_Local govts_control issues,County government,C,Local communities,Local control
8,C_Local govts_control issues,County government,C,Local communities,Local control
8,C_Organizations_mission,County government,C,Institutions,Statutory mission
8,S_Political leadership_compel orgs to work together,County government,S,Leadership,Compel orgs to work together
8,S_Regulation_Integrated permitting,County government,S,Regulation,Integrated permitting
4,S_Collaborative governance_broad participation,State Agency,S,Institutions,Broad participation
8,C_Organizations_Competing priorities,County government,C,Institutions,Competing priorities
1,C_Complexity_Information_overload,Local entity,C,Science,Information overload
32,C_Organizations_Competition for leadership,State Agency,C,Institutions,Competition for leadership
1,S_Local govts_governance must include local stakeholders,Local entity,S,Local communities,Include local stakeholders
1,C_Leadership_No single voice for the Bay,Local entity,C,Leadership,No single voice for the Bay
1,S_People_Community engagement,Local entity,S,Local communities,Engage communities
1,C_Complexity_Uncertainty,Local entity,C,Science,Uncertainty
1,S_Political leadership_create legi requirements,Local entity,S,Leadership,Create legislative requirements
1,C_Resources_Lack staff resources,Local entity,C,Funding/Resources,Lack staff resources
1,S_Complexity_Climate service enterprise,Local entity,S,Science,Climate service enterprise
1,S_Complexity_Climate service enterprise,Local entity,S,Science,Climate service enterprise
1,C_Resources_Who pays?,Local entity,C,Funding/Resources,Who pays?
1,S_Resources_Ballot measure to raise money,Local entity,S,Funding/Resources,Ballot measure to raise money
1,S_Complexity_Climate service enterprise,Local entity,S,Science,Climate service enterprise
1,S_Complexity_Climate service enterprise,Local entity,S,Science,Climate service enterprise
1,S_Complexity_Climate service enterprise,Local entity,S,Science,Climate service enterprise
1,S_Local govts_governance must include local stakeholders,Local entity,S,Local communities,Include local stakeholders
1,S_Resources_State/Regional funding,Local entity,S,Funding/Resources,State/Regional funding
1,C_Resources_Lack staff resources,Local entity,C,Funding/Resources,Lack staff resources
11,C_Organizations_Conflicting goals,County Agency,C,Institutions,Conflicting goals
11,C_Complexity_Vulnerability interdependence,County Agency,C,Science,Vulnerability interdependence
11,C_Complexity_Uncertainty,County Agency,C,Science,Uncertainty
11,C_Leadership_No single voice for the Bay,County Agency,C,Leadership,No single voice for the Bay
11,C_Collaborative governance_All talk no action,County Agency,C,Institutions,All talk no action
11,C_Resources_Who pays?,County Agency,C,Funding/Resources,Who pays?
11,C_Resources_Lack staff resources,County Agency,C,Funding/Resources,Lack staff resources
11,C_Resources_Lack staff resources,County Agency,C,Funding/Resources,Lack staff resources
11,C_Resources_Lack staff resources,County Agency,C,Funding/Resources,Lack staff resources
13,C_Regulation_Permitting issues,County government,C,Regulation,Permitting issues
13,C_Organizations_mission,County government,C,Institutions,Statutory mission
8,C_Complexity_Vulnerability interdependence,County government,C,Science,Vulnerability interdependence
8,C_Complexity_Vulnerability interdependence,County government,C,Science,Vulnerability interdependence
8,C_Organizations_Jurisdictional fragmentation,County government,C,Institutions,Jurisdictional fragmentation
8,C_Organizations_mission,County government,C,Institutions,Statutory mission
21,S_Organizations_Formal authority to move things through,Regional Agency,S,Institutions,Demand more powers
13,C_Leadership_No single voice for the Bay,County government,C,Leadership,No single voice for the Bay
13,S_Local govts_governance must include local stakeholders,County government,S,Local communities,Include local stakeholders
13,C_Organizations_mission,County government,C,Institutions,Statutory mission
13,C_Organizations_Jurisdictional fragmentation,County government,C,Institutions,Jurisdictional fragmentation
13,C_Complexity_Uncertainty,County government,C,Science,Uncertainty
13,C_People_Community engagement,County government,C,Local communities,Community engagement
13,S_Complexity_Learning from others (USA/Abroad),County government,S,Science,Learning from others (USA/Abroad)
