"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"XXTLQT7C","journalArticle","2022","DeDecker, James; Malone, Trey; Snapp, Sieglinde; Thelen, Marilyn; Anderson, Eric; Tollini, Christian; Davis, Adam","The relationship between farmer demographics, social identity and tillage behavior: Evidence from Michigan soybean producers","Journal of Rural Studies","","0743-0167","10.1016/j.jrurstud.2022.01.001","https://www.sciencedirect.com/science/article/pii/S0743016722000018","Effectively promoting sustainable agricultural practices like conservation tillage (CT) is of critical importance for developing more efficient and sustainable value chains. While many studies have considered what factors might lead to tillage reduction, few have considered the role of social and structural determinants in farmer decision-making. Fewer still have considered tillage intensity as existing on a continuous spectrum that ranges from no-till to conventional tillage. Using primary data collected from Michigan soybean growers and an adapted Theory of Planned Behavior model, this article identifies key relationships between growers' demographics, social connections and their tillage practices. Results indicate that farmers with lower household income, more farming experience and weaker social network connectivity may be more likely to adopt CT technologies in Michigan soybean production. In addition to these factors, accounting for farmers’ subjective perspectives on the efficacy of CT, particularly its ability to save labor and conserve soil, may increase the success of future outreach encouraging CT in this context. These results have important implications for ongoing extension programs, as they suggest that adoption of sustainable agricultural practices such as CT is not only a function of individual level farm or farmer characteristics, but also of farmer perceptions of the opinions and practices of their unique social networks.","2022-01-01","2022-01-18 19:38:32","2022-01-18 19:38:32","2022-01-18 19:38:14","378-386","","","89","","Journal of Rural Studies","The relationship between farmer demographics, social identity and tillage behavior","","","","","","","en","","","","","ScienceDirect","","","","/Users/lizawood/Zotero/storage/ITPL7YLW/S0743016722000018.html","","","Conservation tillage; Social network analysis; Soybeans; Theory of planned behavior","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZSHKENS7","journalArticle","2016","Trodden, Jennifer; McCue, Casey","2016 New York State Dairy Statistics Report New York State Department of Agriculture and Markets","","","","","","","2016","2021-12-17 14:46:04","2021-12-17 14:46:04","","46","","","","","","","","","","","","","en","","","","","Zotero","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LP4PCTI3","journalArticle","2020","Tittonell, Pablo","Assessing resilience and adaptability in agroecological transitions","Agricultural Systems","","0308-521X","10.1016/j.agsy.2020.102862","http://www.sciencedirect.com/science/article/pii/S0308521X19310091","Guidelines are needed to support research and action on sustainable transitions towards more resilient and adaptable agroecosystems. Here I present an operationable and simple framework with theoretical underpinning to assess to what extent agroecological transitions propend to greater resilience and adaptability. Ecosystems may transition between alternative states defined by their structural and functional characteristics. Agroecological transitions are a special type of human-mediated transitions in which the various components of the agroecosystem and their interactions are reconfigured through a process of design. The concept of the complex adaptive cycle of social-ecological systems is used to propose a set of 10 criteria to monitor resilience and adaptability in agroecological transitions using a system of scores. They comprise: self-regulation, connectivity, functional diversity and redundancy, response diversity, space and time heterogeneity, building of natural capital, social self-organization, reflective learning and human capital, autonomy and local interdependency, and capitalising on local knowledge. The framework is illustrated with an example from Brazil, where national and local level socio-political drivers have supported a 30-year process of agroecological transition. Implications for policy monitoring, research for development and political discourses are discussed.","2020-09-01","2021-12-17 14:45:33","2021-12-17 14:45:33","2020-12-09 16:19:32","102862","","","184","","Agricultural Systems","","","","","","","","en","","","","","ScienceDirect","","","","/Users/lizawood/Zotero/storage/I3NM26H2/Tittonell - 2020 - Assessing resilience and adaptability in agroecolo.pdf; /Users/lizawood/Zotero/storage/PSJAFYWK/S0308521X19310091.html","","","Agroecology; Complex adaptive cycle; Indicator framework; Land use change; State and transition models","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NZ43J9UW","journalArticle","1999","Tilman, David","The ecological consequences of changes in biodiversity: a search for general principles 101","Ecology","","","","http://www.esajournals.org/doi/abs/10.1890/0012-9658(1999)080%5B1455:TECOCI%5D2.0.CO;2","","1999","2021-12-17 14:45:16","2021-12-17 14:45:16","2014-10-10 15:52:01","1455–1474","","5","80","","","THE ECOLOGICAL CONSEQUENCES OF CHANGES IN BIODIVERSITY","","","","","","","","","","","","Google Scholar","","","","/Users/lizawood/Zotero/storage/X6KYQ4I7/Tilman ecological consequences of changes in biodiversity a search for general principles.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6L7PNEXU","journalArticle","2020","Tamburini, Giovanni; Bommarco, Riccardo; Wanger, Thomas Cherico; Kremen, Claire; Heijden, Marcel G. A. van der; Liebman, Matt; Hallin, Sara","Agricultural diversification promotes multiple ecosystem services without compromising yield","Science Advances","","2375-2548","10.1126/sciadv.aba1715","https://advances.sciencemag.org/content/6/45/eaba1715","Enhancing biodiversity in cropping systems is suggested to promote ecosystem services, thereby reducing dependency on agronomic inputs while maintaining high crop yields. We assess the impact of several diversification practices in cropping systems on above- and belowground biodiversity and ecosystem services by reviewing 98 meta-analyses and performing a second-order meta-analysis based on 5160 original studies comprising 41,946 comparisons between diversified and simplified practices. Overall, diversification enhances biodiversity, pollination, pest control, nutrient cycling, soil fertility, and water regulation without compromising crop yields. Practices targeting aboveground biodiversity boosted pest control and water regulation, while those targeting belowground biodiversity enhanced nutrient cycling, soil fertility, and water regulation. Most often, diversification practices resulted in win-win support of services and crop yields. Variability in responses and occurrence of trade-offs highlight the context dependency of outcomes. Widespread adoption of diversification practices shows promise to contribute to biodiversity conservation and food security from local to global scales. Diversification practices benefit biodiversity, pollination, pest control, nutrient cycling, soil fertility, and water regulation. Diversification practices benefit biodiversity, pollination, pest control, nutrient cycling, soil fertility, and water regulation.","2020-11-01","2021-12-17 14:43:08","2021-12-17 14:43:08","2021-01-11 20:58:14","eaba1715","","45","6","","","","","","","","","","en","Copyright © 2020 The Authors, some rights reserved; exclusive licensee American Association for the Advancement of Science. No claim to original U.S. Government Works. Distributed under a Creative Commons Attribution NonCommercial License 4.0 (CC BY-NC).. https://creativecommons.org/licenses/by-nc/4.0/This is an open-access article distributed under the terms of the Creative Commons Attribution-NonCommercial license, which permits use, distribution, and reproduction in any medium, so long as the resultant use is not for commercial advantage and provided the original work is properly cited.","","","","advances.sciencemag.org","","Publisher: American Association for the Advancement of Science Section: Research Article PMID: 33148637","","/Users/lizawood/Zotero/storage/GG9VXN9U/Tamburini et al. - 2020 - Agricultural diversification promotes multiple eco.pdf; ; /Users/lizawood/Zotero/storage/ZMR64F3W/eaba1715.html","http://www.ncbi.nlm.nih.gov/pubmed/33148637","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5MHWMFAD","journalArticle","2017","Sweet, Shannan K.; Wolfe, David W.; DeGaetano, Arthur; Benner, Rebecca","Anatomy of the 2016 drought in the Northeastern United States: Implications for agriculture and water resources in humid climates","Agricultural and Forest Meteorology","","0168-1923","10.1016/j.agrformet.2017.08.024","http://www.sciencedirect.com/science/article/pii/S0168192317302800","2016 was one of the warmest and driest summers on record throughout much of the Northeastern United States (Northeast). Additionally, historically low winter snowfall preceding the summer of 2016 exacerbated drought conditions and led to record low streamflows in some regions. Climate models suggest that short-term summer droughts could increase in frequency and continue to pose challenges to farmers and water resource managers in the Northeast. Here we focus on the impacts of the drought on farmers in New York State (NY), an economically important agricultural state in the Northeast. We found that in several regions across NY 2015-16 winter snowfall, and 2016 growing season precipitation and streamflows were near or below the 10th percentile of the previous 60 years; and 2016 air temperatures were near or above the 90th percentile of the previous 60 years. Based on survey results, more than 70% of the 275 farmers surveyed across NY reported rainfed field crop and pasture yield losses greater than 30%, with some loses over 90%. In the hardest hit Western region of NY, substantial crop losses (>30%) were reported for fruit and vegetable crops on farms with irrigation, due to limited irrigation equipment and water supplies (e.g. low streamflows, dry ponds or wells). After what they experienced in 2016, 32% of the 75 farmers in follow-up interviews invested in irrigation equipment and water sources in 2016, and 32% said they plan to do so in 2017. Thirty-two percent of farmers in follow-up interviews said they plan to take measures to improve soil health and soil organic matter to improve water holding capacity and better prepare for drought. Model estimates suggest NY state-wide crop irrigation water use could increase by 3–8 times in dry years compared to average growing seasons, increasing seasonal usage by millions of cubic meters. This highlights the potential for significant increases in water withdrawals in NY, with implications for water resources, particularly as the climate changes.","2017-12-15","2021-12-17 14:42:55","2021-12-17 14:42:55","2018-01-23 19:33:32","571-581","","","247","","Agricultural and Forest Meteorology","Anatomy of the 2016 drought in the Northeastern United States","","","","","","","","","","","","ScienceDirect","","","","/Users/lizawood/Zotero/storage/K26W3AUJ/Sweet et al. - 2017 - Anatomy of the 2016 drought in the Northeastern Un.pdf; /Users/lizawood/Zotero/storage/EQEQ87IB/S0168192317302800.html","","","Adaptation; Climate change; Drought; Irrigation; Water management; Yield loss","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YXGY4VDQ","journalArticle","2012","Stedman, Richard C.; Patriquin, Mike N.; Parkins, John R.","Dependence, diversity, and the well-being of rural community: building on the Freudenburg legacy","Journal of Environmental Studies and Sciences","","2190-6491","10.1007/s13412-011-0055-7","https://doi.org/10.1007/s13412-011-0055-7","This paper offers a tribute to William Freudenburg’s legacy of work on the well-being of resource-dependent communities. In it, we review Bill’s work on the well-being of resource-dependent communities, and social impact assessment more generally. Key elements of this program of work, especially his emphasis on subjective indicators of well-being and his emphasis on the need for “mid-range” theory informed research conducted by the Canadian Forest Service that addressed the relationship between forest dependence and well-being. Especially crucial in this vein were analyses that explored variation in outcomes over time, space, and definitions of well-being and dependence. Finally, we demonstrate that these analyses served as a foundation for our emerging work in the area of community diversity and resource dependence.","2012-03-01","2021-12-17 14:42:34","2021-12-17 14:42:34","2020-11-25 16:19:26","28-38","","1","2","","J Environ Stud Sci","Dependence, diversity, and the well-being of rural community","","","","","","","en","","","","","Springer Link","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CRFCF7SH","journalArticle","2010","Smith, Adrian; Stirling, Andy","The Politics of Social-ecological Resilience and Sustainable Socio-technical Transitions","Ecology and Society","","1708-3087","","https://www.jstor.org/stable/26268112","[ABSTRACT. Technology-focused literature on socio-technical transitions shares some of the complex systems sensibilities of social-ecological systems research. We contend that the sharing of lessons between these areas of study must attend particularly to the common governance challenges that confront both approaches. Here, we focus on critical experience arising from reactions to a transition management approach to governing sustainable socio-technical transformations. Questions over who governs, whose system framings count, and whose sustainability gets prioritized are all pertinent to social-ecological systems research. We conclude that future research in both areas should deal more centrally and explicitly with these inherently political dimensions of sustainability.]","2010","2021-12-17 14:42:07","2021-12-17 14:42:07","2018-09-20 04:10:08","","","1","15","","","","","","","","","","","","","","","JSTOR","","","","/Users/lizawood/Zotero/storage/M9449R2F/Smith and Stirling - 2010 - The Politics of Social-ecological Resilience and S.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2SUTAPG5","journalArticle","2006","Smith, Adrian","Green Niches in Sustainable Development: The Case of Organic Food in the United Kingdom","Environment and Planning C: Government and Policy","","0263-774X","10.1068/c0514j","https://doi.org/10.1068/c0514j","Strategic niche management is a recently developed policy approach which advocates claim, is important in seeding radical transformations in sociotechnical regimes, and transitions to environmentally sustainable regimes in particular. This paper examines a critically important aspect of this approach: the relationship between radically novel sociotechnical practices in niches and the mainstream social–technical regimes they seek to influence. Although the literature notes the significance of this relationship, it does so in a paradoxical way. It is argued that niches are more likely to influence mainstream change when they show a degree of compatibility with the incumbent regime. Yet this compatibility criterion blunts the scope for niches to be radically innovative, thereby undermining the degree of regime transformation being sought. The case of organic food is used to explore this paradox empirically. The history of the organic niche, and its engagement and entanglement with the mainstream food regime, suggests a dialectical relationship between sociotechnical niches and regimes.","2006-06-01","2021-12-17 14:41:39","2021-12-17 14:41:39","2018-09-21 17:55:06","439-458","","3","24","","Environ Plann C Gov Policy","Green Niches in Sustainable Development","","","","","","","en","","","","","SAGE Journals","","","","/Users/lizawood/Zotero/storage/WNN3YNI9/Smith - 2006 - Green Niches in Sustainable Development The Case .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PTD2F2GR","journalArticle","2020","Skaalsveen, Kamilla; Ingram, Julie; Urquhart, Julie","The role of farmers' social networks in the implementation of no-till farming practices","Agricultural Systems","","0308-521X","10.1016/j.agsy.2020.102824","http://www.sciencedirect.com/science/article/pii/S0308521X19306535","This paper draws on network science and uses a Social Network Analysis to improve our understanding of how the implementation of no-till in England is influenced by farmers' social networks. No-till is a low disturbance farming practice with potential to benefit soil health, the aquatic environment and farm economy, but is currently only implemented at a small scale in Europe. Interpersonal networks are important for farmers and influence farmer learning and decision-making and farmers often view each other as their main source of information. In this study, the social networks of 16 no-till farmers in England were mapped and semi-structured interviews carried out to assess the link between farmer network characteristics and the implementation of no-till in England. We also aimed to improve our understanding of the nature and extent of knowledge exchanged within farmer networks and their spatial and temporal dynamics. Our findings suggest that intermediary farmers had an important role in increasing the information flow and knowledge exchange between the different clusters of the no-till farmer network. These intermediaries were also the biggest influencers as they were often no-till farmers with a high level of experiential knowledge and viewed as important sources of information by other farmers. No-till farmer networks were geographically distributed as the farmers preferred to discuss farming practices with similar minded no-till farmers rather than local conventional farmers who did not understand what they were trying to achieve. Therefore, online communication platforms like social media were important for communication. We question the role of formal extension services in supporting farmers with innovative practices like no-till and suggest that advisors should strive to improve their understanding of these well-developed information networks to enable a more streamlined and efficient information diffusion.","2020-05-01","2021-12-17 14:41:10","2021-12-17 14:41:10","2020-12-18 16:04:14","102824","","","181","","Agricultural Systems","","","","","","","","en","","","","","ScienceDirect","","","","/Users/lizawood/Zotero/storage/3M8X7SY8/Skaalsveen et al. - 2020 - The role of farmers' social networks in the implem.pdf; /Users/lizawood/Zotero/storage/YXQZ9D6H/S0308521X19306535.html","","","Farmer networks; Knowledge exchange; Learning; No-till; SNA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
